target_text,source_text,privacy_mask,span_labels,mbert_text_tokens,mbert_bio_labels,id,language
"Subject: Urgent: Academic Integrity Concern at [BUILDINGNUMBER] Dear [NAME], We have identified a potential case of academic dishonesty involving a student with the IP address [IP], at the [BUILDINGNUMBER] located on [STREET]. The student, identified as [SEX], was observed attempting to compromise the system during an assessment. This incident is under immediate investigation to uphold the integrity of our educational standards. Best regards, [Your Name] [Your Position]","Subject: Urgent: Academic Integrity Concern at 35325 Dear [NAME], We have identified a potential case of academic dishonesty involving a student with the IP address 205.171.56.250, at the 35325 located on 0380 Berger Crescent Suite 958. The student, identified as M, was observed attempting to compromise the system during an assessment. This incident is under immediate investigation to uphold the integrity of our educational standards. Best regards, [Your Name] [Your Position]","[{'value': '35325', 'start': 47, 'end': 62, 'label': 'BUILDINGNUMBER'}, {'value': '205.171.56.250', 'start': 176, 'end': 179, 'label': 'IP'}, {'value': '35325', 'start': 189, 'end': 204, 'label': 'BUILDINGNUMBER'}, {'value': '0380 Berger Crescent Suite 958', 'start': 217, 'end': 224, 'label': 'STREET'}, {'value': 'M', 'start': 254, 'end': 258, 'label': 'SEX'}]","[[0, 47, 'O'], [47, 62, 'BUILDINGNUMBER'], [62, 176, 'O'], [176, 179, 'IP'], [179, 189, 'O'], [189, 204, 'BUILDINGNUMBER'], [204, 217, 'O'], [217, 224, 'STREET'], [224, 254, 'O'], [254, 258, 'SEX'], [258, 480, 'O']]","['Sub', '##ject', ':', 'Ur', '##gent', ':', 'Academic', 'Int', '##eg', '##rity', 'Con', '##cer', '##n', 'at', '353', '##25', 'Dear', '[', 'NA', '##ME', ']', ',', 'We', 'have', 'identified', 'a', 'potential', 'case', 'of', 'academic', 'dis', '##hone', '##sty', 'involving', 'a', 'student', 'with', 'the', 'IP', 'address', '205', '.', '171', '.', '56', '.', '250', ',', 'at', 'the', '353', '##25', 'located', 'on', '038', '##0', 'Berger', 'Crescent', 'Suite', '958', '.', 'The', 'student', ',', 'identified', 'as', 'M', ',', 'was', 'observed', 'attempting', 'to', 'com', '##pro', '##mise', 'the', 'system', 'during', 'an', 'assessment', '.', 'This', 'incident', 'is', 'under', 'immediate', 'investigation', 'to', 'up', '##hold', 'the', 'inte', '##gri', '##ty', 'of', 'our', 'educational', 'standards', '.', 'Best', 'regard', '##s', ',', '[', 'Your', 'Name', ']', '[', 'Your', 'Position', ']']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-BUILDINGNUMBER', 'I-BUILDINGNUMBER', 'I-BUILDINGNUMBER', 'I-BUILDINGNUMBER', 'I-BUILDINGNUMBER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'O', 'O', 'O', 'I-BUILDINGNUMBER', 'I-BUILDINGNUMBER', 'I-BUILDINGNUMBER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",209262,en
"Sure, here's a piece of content that fits your requirements: ""I noticed you mentioned being a [JOBTITLE] at [COMPANYNAME], which must involve a lot of [JOBAREA] tasks. How do you manage the stress that often comes with such a role? Any specific strategies you've found helpful?""","Sure, here's a piece of content that fits your requirements: ""I noticed you mentioned being a Engineer, building services at Anderson LLC, which must involve a lot of Civil engineer, contracting tasks. How do you manage the stress that often comes with such a role? Any specific strategies you've found helpful?""","[{'value': 'Engineer, building services', 'start': 94, 'end': 103, 'label': 'JOBTITLE'}, {'value': 'Anderson LLC', 'start': 108, 'end': 120, 'label': 'COMPANYNAME'}, {'value': 'Civil engineer, contracting', 'start': 151, 'end': 159, 'label': 'JOBAREA'}]","[[0, 94, 'O'], [94, 103, 'JOBTITLE'], [103, 108, 'O'], [108, 120, 'COMPANYNAME'], [120, 151, 'O'], [151, 159, 'JOBAREA'], [159, 312, 'O']]","['Sur', '##e', ',', 'here', ""'"", 's', 'a', 'piece', 'of', 'content', 'that', 'fit', '##s', 'your', 'requirements', ':', '""', 'I', 'notice', '##d', 'you', 'mentioned', 'being', 'a', 'Engineer', ',', 'building', 'services', 'at', 'Anderson', 'LLC', ',', 'which', 'must', 'involve', 'a', 'lot', 'of', 'Civil', 'engineer', ',', 'contract', '##ing', 'tasks', '.', 'How', 'do', 'you', 'manage', 'the', 'stress', 'that', 'often', 'comes', 'with', 'such', 'a', 'role', '?', 'Any', 'specific', 'strategies', 'you', ""'"", 've', 'found', 'help', '##ful', '?', '""']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-JOBTITLE', 'I-JOBTITLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-JOBAREA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",209263,en
"[FIRSTNAME] [LASTNAME], it's been a while! I noticed you're still at [COMPANYNAME] as [JOBTITLE]. For any inquiries about our new corporate tax laws, reach out to our finance team led by [JOBTITLE] [JOBAREA] at [PHONENUMBER]. Stay informed!","Charles Rosario, it's been a while! I noticed you're still at Guzman Inc as Designer, interior/spatial. For any inquiries about our new corporate tax laws, reach out to our finance team led by Designer, interior/spatial Materials engineer at (579)566-1058. Stay informed!","[{'value': 'Charles', 'start': 0, 'end': 10, 'label': 'FIRSTNAME'}, {'value': 'Rosario', 'start': 12, 'end': 21, 'label': 'LASTNAME'}, {'value': 'Guzman Inc', 'start': 69, 'end': 81, 'label': 'COMPANYNAME'}, {'value': 'Designer, interior/spatial', 'start': 86, 'end': 95, 'label': 'JOBTITLE'}, {'value': 'Designer, interior/spatial', 'start': 187, 'end': 196, 'label': 'JOBTITLE'}, {'value': 'Materials engineer', 'start': 198, 'end': 206, 'label': 'JOBAREA'}, {'value': '(579)566-1058', 'start': 211, 'end': 223, 'label': 'PHONENUMBER'}]","[[0, 10, 'FIRSTNAME'], [10, 12, 'O'], [12, 21, 'LASTNAME'], [21, 69, 'O'], [69, 81, 'COMPANYNAME'], [81, 86, 'O'], [86, 95, 'JOBTITLE'], [95, 187, 'O'], [187, 196, 'JOBTITLE'], [196, 198, 'O'], [198, 206, 'JOBAREA'], [206, 211, 'O'], [211, 223, 'PHONENUMBER'], [223, 271, 'O']]","['Charles', 'Rosario', ',', 'it', ""'"", 's', 'been', 'a', 'while', '!', 'I', 'notice', '##d', 'you', ""'"", 're', 'still', 'at', 'G', '##uz', '##man', 'Inc', 'as', 'Designer', ',', 'interior', '/', 'spatial', '.', 'For', 'any', 'in', '##qui', '##ries', 'about', 'our', 'new', 'corporate', 'tax', 'laws', ',', 'reach', 'out', 'to', 'our', 'finance', 'team', 'led', 'by', 'Designer', ',', 'interior', '/', 'spatial', 'Materials', 'engineer', 'at', '(', '579', ')', '566', '-', '105', '##8', '.', 'Stay', 'informed', '!']","['B-FIRSTNAME', 'O', 'I-LASTNAME', 'I-LASTNAME', 'I-LASTNAME', 'I-LASTNAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COMPANYNAME', 'I-COMPANYNAME', 'O', 'O', 'B-JOBTITLE', 'I-JOBTITLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-JOBTITLE', 'O', 'I-JOBAREA', 'O', 'B-PHONENUMBER', 'I-PHONENUMBER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",209264,en
"Dear Professor Smith, your presence is urgently required at [NEARBYGPSCOORDINATE] for a crucial educational summit. Please ensure your [PHONEIMEI] is active for coordination. Your expertise in [JOBTITLE] is vital for the success of this event. We look forward to your valuable contributions.","Dear Professor Smith, your presence is urgently required at 3.286422, 142.861074 for a crucial educational summit. Please ensure your 406720289616828 is active for coordination. Your expertise in IT trainer is vital for the success of this event. We look forward to your valuable contributions.","[{'value': '3.286422, 142.861074', 'start': 60, 'end': 80, 'label': 'NEARBYGPSCOORDINATE'}, {'value': '406720289616828', 'start': 135, 'end': 145, 'label': 'PHONEIMEI'}, {'value': 'IT trainer', 'start': 193, 'end': 202, 'label': 'JOBTITLE'}]","[[0, 60, 'O'], [60, 80, 'NEARBYGPSCOORDINATE'], [80, 135, 'O'], [135, 145, 'PHONEIMEI'], [145, 193, 'O'], [193, 202, 'JOBTITLE'], [202, 294, 'O']]","['Dear', 'Professor', 'Smith', ',', 'your', 'presence', 'is', 'ur', '##gent', '##ly', 'required', 'at', '3', '.', '286', '##42', '##2', ',', '142', '.', '861', '##0', '##7', '##4', 'for', 'a', 'crucial', 'educational', 'summit', '.', 'Please', 'ensure', 'your', '406', '##7', '##20', '##28', '##9', '##6', '##16', '##82', '##8', 'is', 'active', 'for', 'coordination', '.', 'Your', 'expertise', 'in', 'IT', 'trainer', 'is', 'vital', 'for', 'the', 'success', 'of', 'this', 'event', '.', 'We', 'look', 'forward', 'to', 'your', 'valuable', 'contributions', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NEARBYGPSCOORDINATE', 'I-NEARBYGPSCOORDINATE', 'I-NEARBYGPSCOORDINATE', 'I-NEARBYGPSCOORDINATE', 'I-NEARBYGPSCOORDINATE', 'I-NEARBYGPSCOORDINATE', 'I-NEARBYGPSCOORDINATE', 'I-NEARBYGPSCOORDINATE', 'I-NEARBYGPSCOORDINATE', 'I-NEARBYGPSCOORDINATE', 'I-NEARBYGPSCOORDINATE', 'I-NEARBYGPSCOORDINATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-PHONEIMEI', 'I-PHONEIMEI', 'I-PHONEIMEI', 'I-PHONEIMEI', 'I-PHONEIMEI', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-JOBTITLE', 'I-JOBTITLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",209265,en
"[FIRSTNAME], your appointment is set for [DOB]. Remember, the clinic is located to the [ORDINALDIRECTION] of [NEARBYGPSCOORDINATE]. It's crucial to remember, as someone with [EYECOLOR], to be mindful of potential health conditions. See you soon!","Joseph, your appointment is set for 1992-12-20. Remember, the clinic is located to the South of -64.4714775, 115.545555. It's crucial to remember, as someone with Hazel, to be mindful of potential health conditions. See you soon!","[{'value': 'Joseph', 'start': 0, 'end': 10, 'label': 'FIRSTNAME'}, {'value': '1992-12-20', 'start': 41, 'end': 45, 'label': 'DOB'}, {'value': 'South', 'start': 87, 'end': 104, 'label': 'ORDINALDIRECTION'}, {'value': '-64.4714775, 115.545555', 'start': 109, 'end': 129, 'label': 'NEARBYGPSCOORDINATE'}, {'value': 'Hazel', 'start': 174, 'end': 183, 'label': 'EYECOLOR'}]","[[0, 10, 'FIRSTNAME'], [10, 41, 'O'], [41, 45, 'DOB'], [45, 87, 'O'], [87, 104, 'ORDINALDIRECTION'], [104, 109, 'O'], [109, 129, 'NEARBYGPSCOORDINATE'], [129, 174, 'O'], [174, 183, 'EYECOLOR'], [183, 229, 'O']]","['Joseph', ',', 'your', 'appointment', 'is', 'set', 'for', '1992', '-', '12', '-', '20', '.', 'Remember', ',', 'the', 'c', '##lini', '##c', 'is', 'located', 'to', 'the', 'South', 'of', '-', '64', '.', '471', '##47', '##7', '##5', ',', '115', '.', '545', '##55', '##5', '.', 'It', ""'"", 's', 'crucial', 'to', 'remember', ',', 'as', 'someone', 'with', 'Hazel', ',', 'to', 'be', 'mind', '##ful', 'of', 'potential', 'health', 'conditions', '.', 'See', 'you', 'soon', '!']","['B-FIRSTNAME', 'I-FIRSTNAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DOB', 'I-DOB', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORDINALDIRECTION', 'I-ORDINALDIRECTION', 'I-ORDINALDIRECTION', 'I-ORDINALDIRECTION', 'I-ORDINALDIRECTION', 'I-ORDINALDIRECTION', 'O', 'O', 'O', 'O', 'B-NEARBYGPSCOORDINATE', 'I-NEARBYGPSCOORDINATE', 'I-NEARBYGPSCOORDINATE', 'I-NEARBYGPSCOORDINATE', 'I-NEARBYGPSCOORDINATE', 'I-NEARBYGPSCOORDINATE', 'I-NEARBYGPSCOORDINATE', 'I-NEARBYGPSCOORDINATE', 'I-NEARBYGPSCOORDINATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-EYECOLOR', 'I-EYECOLOR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",209266,en
"""Hey there, [MIDDLENAME]! I've been diving into the world of [TOPIC] and I'm eager to share some insights. Let's connect via email [EMAIL] and discuss how we can incorporate these ideas into our curriculum. Looking forward to your thoughts!""","""Hey there, Mark! I've been diving into the world of [TOPIC] and I'm eager to share some insights. Let's connect via email kristie29@example.org and discuss how we can incorporate these ideas into our curriculum. Looking forward to your thoughts!""","[{'value': 'Mark', 'start': 12, 'end': 23, 'label': 'MIDDLENAME'}, {'value': 'kristie29@example.org', 'start': 131, 'end': 137, 'label': 'EMAIL'}]","[[0, 12, 'O'], [12, 23, 'MIDDLENAME'], [23, 131, 'O'], [131, 137, 'EMAIL'], [137, 247, 'O']]","['""', 'Hey', 'there', ',', 'Mark', '!', 'I', ""'"", 've', 'been', 'diving', 'into', 'the', 'world', 'of', '[', 'TOP', '##IC', ']', 'and', 'I', ""'"", 'm', 'ea', '##ger', 'to', 'share', 'some', 'ins', '##ights', '.', 'Let', ""'"", 's', 'connect', 'via', 'email', 'kr', '##isti', '##e', '##2', '##9', '@', 'example', '.', 'org', 'and', 'discuss', 'how', 'we', 'can', 'incorpora', '##te', 'these', 'ideas', 'into', 'our', 'curriculum', '.', 'Looking', 'forward', 'to', 'your', 'thought', '##s', '!', '""']","['O', 'O', 'O', 'O', 'B-MIDDLENAME', 'I-MIDDLENAME', 'I-MIDDLENAME', 'I-MIDDLENAME', 'I-MIDDLENAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EMAIL', 'I-EMAIL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",209267,en
"Dear Educational Administrator, I'm conducting a workshop on ""Leveraging Digital Tools in Curriculum Development"" tailored for [STATE]'s evolving educational landscape. This session will explore how emerging digital tools can be integrated into the curriculum to enhance student engagement and learning outcomes. We will also discuss the role of [JOBTITLE] in fostering a digitally inclusive educational environment. Your insights would be invaluable. Best regards, [Your Name]","Dear Educational Administrator, I'm conducting a workshop on ""Leveraging Digital Tools in Curriculum Development"" tailored for Texas's evolving educational landscape. This session will explore how emerging digital tools can be integrated into the curriculum to enhance student engagement and learning outcomes. We will also discuss the role of Landscape architect in fostering a digitally inclusive educational environment. Your insights would be invaluable. Best regards, [Your Name]","[{'value': 'Texas', 'start': 127, 'end': 133, 'label': 'STATE'}, {'value': 'Landscape architect', 'start': 346, 'end': 355, 'label': 'JOBTITLE'}]","[[0, 127, 'O'], [127, 133, 'STATE'], [133, 346, 'O'], [346, 355, 'JOBTITLE'], [355, 484, 'O']]","['Dear', 'Educational', 'Ad', '##mini', '##strat', '##or', ',', 'I', ""'"", 'm', 'conducting', 'a', 'workshop', 'on', '""', 'Lev', '##era', '##ging', 'Digital', 'Too', '##ls', 'in', 'Cu', '##rri', '##culum', 'Development', '""', 'tail', '##ored', 'for', 'Texas', ""'"", 's', 'evo', '##lv', '##ing', 'educational', 'landscape', '.', 'This', 'session', 'will', 'explore', 'how', 'emerging', 'digital', 'tools', 'can', 'be', 'integrated', 'into', 'the', 'curriculum', 'to', 'en', '##hance', 'student', 'engagement', 'and', 'learning', 'outcomes', '.', 'We', 'will', 'also', 'discuss', 'the', 'role', 'of', 'Landscape', 'architect', 'in', 'fost', '##ering', 'a', 'digital', '##ly', 'inclusive', 'educational', 'environment', '.', 'Your', 'ins', '##ights', 'would', 'be', 'in', '##val', '##uable', '.', 'Best', 'regard', '##s', ',', '[', 'Your', 'Name', ']']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-STATE', 'I-STATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",209268,en
"""The final copy of the [JOBTYPE] curriculum will be sent from [IPV4] on [DOB], ensuring timely and accurate delivery for your review.""","""The final copy of the Part-Time curriculum will be sent from 204.36.81.242 on 1974-08-11, ensuring timely and accurate delivery for your review.""","[{'value': 'Part-Time', 'start': 23, 'end': 31, 'label': 'JOBTYPE'}, {'value': '204.36.81.242', 'start': 62, 'end': 67, 'label': 'IPV4'}, {'value': '1974-08-11', 'start': 72, 'end': 76, 'label': 'DOB'}]","[[0, 23, 'O'], [23, 31, 'JOBTYPE'], [31, 62, 'O'], [62, 67, 'IPV4'], [67, 72, 'O'], [72, 76, 'DOB'], [76, 146, 'O']]","['""', 'The', 'final', 'copy', 'of', 'the', 'Part', '-', 'Time', 'curriculum', 'will', 'be', 'sent', 'from', '204', '.', '36', '.', '81', '.', '242', 'on', '1974', '-', '08', '-', '11', ',', 'ens', '##uring', 'time', '##ly', 'and', 'accurate', 'delivery', 'for', 'your', 'review', '.', '""']","['O', 'O', 'O', 'O', 'O', 'O', 'B-JOBTYPE', 'I-JOBTYPE', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IPV4', 'I-IPV4', 'O', 'O', 'O', 'O', 'B-DOB', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",209269,en
"[FIRSTNAME], please review the recent survey results from [URL] and share your insights on the effectiveness of our new educational module. Your analysis should include any challenges faced by students and suggestions for improvement. Submit your findings by [DATE].","Ashley, please review the recent survey results from http://harmon.com/ and share your insights on the effectiveness of our new educational module. Your analysis should include any challenges faced by students and suggestions for improvement. Submit your findings by 2014-08-20.","[{'value': 'Ashley', 'start': 0, 'end': 10, 'label': 'FIRSTNAME'}, {'value': 'http://harmon.com/', 'start': 58, 'end': 62, 'label': 'URL'}, {'value': '2014-08-20', 'start': 259, 'end': 264, 'label': 'DATE'}]","[[0, 10, 'FIRSTNAME'], [10, 58, 'O'], [58, 62, 'URL'], [62, 259, 'O'], [259, 264, 'DATE'], [264, 278, 'O']]","['Ashley', ',', 'pl', '##eas', '##e', 'review', 'the', 'recent', 'survey', 'results', 'from', 'http', ':', '/', '/', 'harm', '##on', '.', 'com', '/', 'and', 'share', 'your', 'ins', '##ights', 'on', 'the', 'effective', '##ness', 'of', 'our', 'new', 'educational', 'module', '.', 'Your', 'analysis', 'should', 'include', 'any', 'challenges', 'faced', 'by', 'students', 'and', 'suggest', '##ions', 'for', 'improvement', '.', 'Sub', '##mit', 'your', 'findings', 'by', '2014', '-', '08', '-', '20', '.']","['B-FIRSTNAME', 'I-FIRSTNAME', 'I-FIRSTNAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-URL', 'I-URL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",209270,en
"Subject: Urgent: Health Consultation Required Dear [FIRSTNAME], This is a gentle reminder that your scheduled health consultation with Dr. [LASTNAME] is due. Your health is our priority. Please contact us at [EMAIL] to confirm your appointment. Best regards, [CITY] Medical Center","Subject: Urgent: Health Consultation Required Dear Kylie, This is a gentle reminder that your scheduled health consultation with Dr. Ramirez is due. Your health is our priority. Please contact us at ydelgado@example.com to confirm your appointment. Best regards, Morganport Medical Center","[{'value': 'Kylie', 'start': 51, 'end': 61, 'label': 'FIRSTNAME'}, {'value': 'Ramirez', 'start': 139, 'end': 148, 'label': 'LASTNAME'}, {'value': 'ydelgado@example.com', 'start': 208, 'end': 214, 'label': 'EMAIL'}, {'value': 'Morganport', 'start': 259, 'end': 264, 'label': 'CITY'}]","[[0, 51, 'O'], [51, 61, 'FIRSTNAME'], [61, 139, 'O'], [139, 148, 'LASTNAME'], [148, 208, 'O'], [208, 214, 'EMAIL'], [214, 259, 'O'], [259, 264, 'CITY'], [264, 288, 'O']]","['Sub', '##ject', ':', 'Ur', '##gent', ':', 'Health', 'Consulta', '##tion', 'Re', '##quire', '##d', 'Dear', 'Kylie', ',', 'This', 'is', 'a', 'gent', '##le', 're', '##min', '##der', 'that', 'your', 'scheduled', 'health', 'consulta', '##tion', 'with', 'Dr', '.', 'Ram', '##ire', '##z', 'is', 'due', '.', 'Your', 'health', 'is', 'our', 'priority', '.', 'Please', 'contact', 'us', 'at', 'y', '##del', '##gado', '@', 'example', '.', 'com', 'to', 'con', '##fir', '##m', 'your', 'appointment', '.', 'Best', 'regard', '##s', ',', 'Morgan', '##port', 'Medical', 'Center']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FIRSTNAME', 'I-FIRSTNAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LASTNAME', 'I-LASTNAME', 'I-LASTNAME', 'I-LASTNAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-CITY', 'I-CITY', 'O', 'O', 'O', 'O']",209271,en
